buyercompany,cer,projectnumber,sector,industry,buyerstat,psize,locationregion,location,treat,buyercountry,investmentmus,subregion,yrs,stperiodktco2eyr,expectedaccumulated2020ktco2e,expectedaccumulated2030ktco2e,Africa_x,Asia & Pacific_x,Europe & Central Asia_x,Latin America_x,Middle-East_x,Asia & PacificP,Latin AmericaP,AfricaP,Middle-EastP,Europe & Central AsiaP,Africa_y,Asia & Pacific_y,Europe & Central Asia_y,Latin America_y,Middle-East_y,Africa,Asia & Pacific,Europe & Central Asia,Latin America,Middle-East
Eco-Tec Asia UK,12.466923076923077,13,Financials (Special),Specialty Finance,privateglobal,0.0,Asia & Pacific,China,0.0,United K. ,51.8692310076923,East Asia,9.076923076923077,99.83076807692308,856.0,1311.2307692307693,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
EcoFrontier,10.420000120000001,5,Business consulting and others,Environmental Services,privatelocal,0.6,Asia & Pacific,China,0.0,United K. ,16.53999996,East Asia,7.6,66.42,553.4,1170.4,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
EcoSecurities,13.74486410735295,68,Industrials,Waste & Environ Svcs & Equip,privateglobal,0.3382352941176471,Latin America,South Africa,0.0,United K. ,37.3104477522388,Southern Africa,7.352941176470588,120.78823548529414,1218.0441176470588,2303.0882352941176,1.0,64.0,0.0,3.0,0.0,0.9411764705882353,0.04411764705882353,0.014705882352941176,0.0,0.0,1.0,64.0,0.0,3.0,0.0,1.0,64.0,0.0,3.0,0.0
Ecoinvest Carbon SA,17.77,1,Business consulting and others,Environmental Services,privateglobal,1.0,Asia & Pacific,India,0.0,Switzerland ,8.1000004,Southern Asia,10.0,14.8,141.0,148.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ecolutions,10.66,1,Business consulting and others,Environmental Services,privatelocal,1.0,Asia & Pacific,China,0.0,United K. ,7.3000002,East Asia,7.0,20.9,200.0,410.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ecosecurities,14.158300266666666,6,Industrials,Waste & Environ Svcs & Equip,privateglobal,0.16666666666666666,Latin America,China,0.0,United K. ,91.65000150000002,South America,7.5,383.58333383333337,3747.5,7457.833333333333,0.0,5.0,0.0,1.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0
Ecotawa,22.8616665,6,Business consulting and others,Environmental Services,privateglobal,0.6666666666666666,Asia & Pacific,Vietnam,0.3333333333333333,Switzerland ,57.31666633333333,Southeast Asia,7.5,107.54999996666665,807.8333333333334,1857.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Edison,9.23700012,10,Industrials,Industrial Services,privatelocal,0.7,Asia & Pacific,China,0.0,Italy ,9.519999989999999,East Asia,7.3,37.9299999,365.8,700.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Electrabel,12.918571428571427,14,Utilities,Utilities,privateglobal,0.07142857142857142,Asia & Pacific,Thailand,0.0,Netherlands ,79.28571327857141,Southeast Asia,7.214285714285714,127.91428592857142,1213.0714285714287,2477.6428571428573,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Electrade,9.944000240000001,5,Utilities,Utilities,privateglobal,0.4,Asia & Pacific,China,0.0,Netherlands ,25.999999359999997,East Asia,7.6,42.9600002,347.2,684.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
"Electric Power Development Co., Ltd.",11.39,1,Utilities,Utilities,privatelocal,1.0,Asia & Pacific,China,0.0,Japan ,10.9,East Asia,7.0,36.799999,351.0,719.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Emissionshandels Gesellschaft Bavaria,12.514,5,Financials (Special),Specialty Finance,privatelocal,0.0,Asia & Pacific,China,0.0,Germany ,45.314000799999995,East Asia,7.0,130.0400004,1131.6,2432.6,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
EnBW,9.025714385714286,7,Utilities,Utilities,privatelocal,0.42857142857142855,Latin America,Thailand,0.0,Germany ,24.628571285714283,Southeast Asia,7.857142857142857,69.471428,510.57142857142856,1036.0,0.0,3.0,0.0,4.0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,3.0,0.0,4.0,0.0
Endesa Carbono S.L.,15.0,1,Business consulting and others,Environmental Services,privatelocal,0.0,Latin America,Peru,0.0,United K. ,6.0999999,South America,7.0,10.3,69.0,172.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Endesa Generacion S.A.,11.00200006,5,Utilities,Utilities,privateglobal,0.2,Asia & Pacific,China,0.0,United K. ,121.93999840000001,East Asia,7.0,258.9000002,2585.6,5144.4,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Eneco Energy,10.458333483333334,6,Utilities,Utilities,privatelocal,0.8333333333333334,Asia & Pacific,Vietnam,0.0,United K. ,13.433333466666667,Southeast Asia,7.5,18.683333333333334,172.5,329.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
EnergiMidt Handel,11.84,1,Utilities,Utilities,privatelocal,1.0,Asia & Pacific,Malaysia,0.0,United K. ,2.2,Southeast Asia,7.0,53.400002,514.0,1048.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Energy Initiative Japan,10.06500015,4,Industrials,Waste & Environ Svcs & Equip,privatelocal,0.5,Asia & Pacific,China,0.0,Japan ,12.2749994,East Asia,8.5,73.37500025,704.0,1086.75,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Energy Systems International,11.207000120000002,20,Utilities,Utilities,privateglobal,0.15,Asia & Pacific,China,0.0,Netherlands ,72.20699980000002,East Asia,7.6,163.33500329999998,1829.75,2962.2,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
Equity Environmental Assets Ireland,10.414545590909087,11,Financials (Special),financial institutions,privatelocal,0.6363636363636364,Asia & Pacific,China,0.0,United K. ,19.218181627272724,East Asia,7.2727272727272725,55.67272727272727,526.9090909090909,1050.8181818181818,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Essent Energy Trading,9.4700003,3,Business consulting and others,Environmental Services,privatelocal,1.0,Asia & Pacific,China,0.0,Netherlands ,5.933333333333334,East Asia,7.0,26.466667333333334,274.0,538.3333333333334,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
European Carbon Capital,9.4700003,7,Financials (Special),Specialty Finance,privatelocal,0.8571428571428571,Asia & Pacific,China,0.0,United K. ,26.571428157142858,East Asia,7.0,37.400000142857145,295.7142857142857,670.1428571428571,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
European Carbon Fund,13.816666666666668,3,Financials,financial institutions,privateglobal,0.0,Asia & Pacific,Egypt,0.0,United K. ,63.63333366666668,North Africa,7.0,103.86666366666667,910.3333333333334,1949.6666666666667,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Eurus Energy Holdings,11.84,1,Energy,Renewable Energy,privatelocal,0.0,Asia & Pacific,South Korea,0.0,Japan ,72.900002,East Asia,10.0,59.700001,597.0,597.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
FC2E,10.568750112499998,8,Business consulting and others,Environmental Services,privatelocal,0.25,Asia & Pacific,China,0.0,United K. ,25.93750035,East Asia,8.875,181.71249962500002,1442.875,2387.375,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
First Climate AG,10.183750125000003,8,Financials,Asset Management,privateglobal,0.75,Latin America,Pakistan,0.0,United K. ,12.3500003875,Southern Asia,9.625,45.387500125,412.5,472.25,0.0,7.0,0.0,1.0,0.0,0.875,0.125,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0
Fortis Bank,12.55400006,5,Financials,Banking,privatelocal,0.0,Asia & Pacific,China,0.0,Netherlands ,79.1799994,East Asia,7.0,127.23999880000001,1281.8,2555.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
GETEC Climate Projects,10.066666766666666,3,Business consulting and others,Environmental Services,privatelocal,0.6666666666666666,Asia & Pacific,China,0.0,Germany ,14.133333733333332,East Asia,7.0,54.800000000000004,482.3333333333333,1030.3333333333333,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Gaisi Peony Capital,10.07,1,Financials (Special),Specialty Finance,privateglobal,0.0,Asia & Pacific,China,0.0,United K. ,322.70001,East Asia,7.0,1044.3,8790.0,13127.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Gazprom Marketing & Trading,11.52393941212121,33,Utilities,Utilities,privateglobal,0.18181818181818182,Asia & Pacific,Malaysia,0.0,United K. ,67.24545476666665,Southeast Asia,7.454545454545454,114.41818263636362,943.939393939394,2033.8484848484848,0.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
GenPower Carbon Solutions,10.853333433333333,3,Business consulting and others,Environmental Services,privateglobal,0.0,Asia & Pacific,Malaysia,0.0,United K. ,10.666666533333332,Southeast Asia,7.0,253.30000000000004,2064.6666666666665,4598.666666666667,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
General Energy Capital,12.290000037499999,8,Business consulting and others,Environmental Services,privatelocal,0.125,Asia & Pacific,China,0.0,United K. ,49.33749935,East Asia,7.0,69.975000375,591.375,1291.375,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
Goldman Sachs,11.866,5,Financials,Banking,privateglobal,0.0,Asia & Pacific,China,0.0,United K. ,54.2800012,East Asia,7.0,107.30000060000002,928.4,2001.8,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Government of Netherlands,7.309999900000001,1,Government,Government Agencies,Government,0.0,Latin America,Colombia,0.0,Netherlands ,126.0,South America,7.0,176.60001,1503.0,3270.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Government of Spain,12.44,2,Government,Government Agencies,Government,0.0,Asia & Pacific,China,0.0,Spain ,63.5,East Asia,7.0,105.7,1050.5,2108.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Government of Sweden,12.434999999999999,2,Government,Government Agencies,Government,0.0,Asia & Pacific,China,0.0,Sweden ,107.0,East Asia,7.0,66.55,702.0,1263.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Government of Sweden+Asian Development Bank,11.463333383333335,6,Government,Government Agencies,Government,0.8333333333333334,Asia & Pacific,Thailand,0.16666666666666666,Sweden ,8.486666533333333,Southeast Asia,8.5,32.95000018333334,312.1666666666667,447.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Green Hercules Trading,10.002307753846155,13,Consumer Discretionary,Distributors - Discretionary,privatelocal,0.46153846153846156,Asia & Pacific,China,0.0,United K. ,33.94615464615385,East Asia,7.461538461538462,113.8692320769231,1143.4615384615386,2171.923076923077,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
GreenStream Network,11.835882479411762,34,Financials,Asset Management,privateglobal,0.08823529411764706,Asia & Pacific,China,0.0,Finland ,47.98529382647058,East Asia,7.794117647058823,101.20588255882352,840.5882352941177,1597.3235294117646,0.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0
Greenscot,9.496285808571425,35,Financials,financial institutions,privateglobal,0.17142857142857143,Asia & Pacific,China,0.0,United K. ,85.89428540000002,East Asia,7.0,212.62571454285714,1610.057142857143,3737.457142857143,0.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0
Grey K Environmental,12.365714457142857,7,Financials (Special),Specialty Finance,privatelocal,0.42857142857142855,Asia & Pacific,Vietnam,0.0,United K. ,22.92857115714286,Southeast Asia,7.0,65.64285585714285,547.1428571428571,1203.7142857142858,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
GrÃ¼tter Consulting AG,13.026666766666667,3,Business consulting and others,Environmental Services,privatelocal,0.3333333333333333,Latin America,India,1.0,Switzerland ,825.6333333333333,Southern Asia,7.0,250.333333,2392.3333333333335,4897.333333333333,0.0,2.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
Gujarat Fluorochemicals,24.870001000000002,1,Materials,Chemicals,privatelocal,0.0,Asia & Pacific,India,1.0,Switzerland ,14.1,Southern Asia,7.0,17.799999,142.0,320.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Gunvor International,11.38500005833333,12,Consumer Discretionary,Distributors - Discretionary,privateglobal,0.25,Asia & Pacific,China,0.16666666666666666,Switzerland ,47.48333334166667,East Asia,7.5,95.10833391666667,829.5,1578.6666666666667,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
Hanwha,9.4700003,2,Utilities,Utilities,privateglobal,1.0,Asia & Pacific,India,0.0,Germany ,5.25,Southern Asia,10.0,34.5,329.5,345.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Hokkaido Electric,11.84,1,Utilities,Utilities,privatelocal,1.0,Asia & Pacific,Vietnam,0.0,Japan ,5.8000002,Southeast Asia,7.0,10.4,85.0,189.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Holcim,10.954999999999998,4,Business consulting and others,Environmental Services,privateglobal,0.5,Asia & Pacific,China,0.0,Belgium ,10.349999925,East Asia,10.0,79.77500049999999,797.75,797.75,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
ICECAP,9.770000150000001,2,Financials (Special),Specialty Finance,privatelocal,0.5,Asia & Pacific,China,0.0,United K. ,46.7600006,East Asia,7.0,264.2999955,2582.0,5142.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ING Bank,9.4700003,1,Financials,Banking,privateglobal,1.0,Asia & Pacific,China,0.0,Netherlands ,10.0,East Asia,7.0,40.0,383.0,784.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ITOCHU Corporation,10.656000180000001,5,Consumer Staples,Distributors - Consumer Staples,privateglobal,1.0,Asia & Pacific,Vietnam,0.0,Japan ,11.05999988,Southeast Asia,7.0,30.0800004,287.6,588.8,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Innovative Carbon Investment,10.66,1,Business consulting and others,Environmental Services,privatelocal,0.0,Asia & Pacific,China,0.0,United K. ,6.0999999,East Asia,10.0,105.7,925.0,1057.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Clean Fund,10.07,3,Financials (Special),Specialty Finance,privateglobal,0.0,Asia & Pacific,China,0.0,Switzerland ,6.799999933333333,East Asia,10.0,130.43333333333334,1047.6666666666667,1304.3333333333333,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
J-Power,10.397142900000002,7,Industrials,Electrical Equipment,privateglobal,0.42857142857142855,Asia & Pacific,China,0.0,Japan ,16.257142597142856,East Asia,8.285714285714286,77.98571271428571,788.8571428571429,1289.2857142857142,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
J-TEC,14.078333333333333,6,Industrials,Medical Equipment & Supply Wholesalers Industry,privateglobal,0.5,Asia & Pacific,China,0.0,Japan ,74.61666679666668,East Asia,7.5,142.29999706666666,1081.1666666666667,2463.3333333333335,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
JP Morgan,10.593333333333334,3,Financials,Institutional Financial Svcs,privateglobal,0.3333333333333333,Asia & Pacific,Kenya,0.0,United K. ,81.33333426666667,East Asia,7.0,161.066663,1544.0,3155.6666666666665,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Japan Carbon Finance,11.8600001,3,Financials,Asset Management,privatelocal,0.3333333333333333,Asia & Pacific,Vietnam,0.0,Japan ,22.06666633333333,Southeast Asia,7.0,71.50000033333333,678.6666666666666,1394.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
KP&P Africa B.V.,16.66,1,Financials (Special),Specialty Finance,privateglobal,0.0,Africa,Kenya,1.0,Netherlands ,537.7999900000001,East Africa,7.0,736.59998,5612.0,12983.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Kansai Electric,13.140000333333333,3,Utilities,Utilities,privatelocal,0.3333333333333333,Asia & Pacific,Vietnam,0.0,Japan ,42.7333337,Southeast Asia,7.0,91.166669,909.6666666666666,1821.6666666666667,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
KfW,12.577000029999999,10,Government,Government Development Banks,Government,0.2,Latin America,India,0.0,Germany ,48.480000700000005,Southern Asia,7.3,98.5400002,1010.7,1939.4,0.0,9.0,0.0,1.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0,0.0
Kingdom of Belgium,10.9575,4,Government,Government Development Banks,Government,0.25,Asia & Pacific,China,0.0,Belgium ,39.40000055,East Asia,7.0,56.200000249999995,468.0,1030.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Kommunalkredit,11.86928572142857,28,Financials,Banking,privateglobal,0.10714285714285714,Europe & Central Asia,Moldova,0.10714285714285714,Austria ,69.29642839285712,Europe,7.428571428571429,104.64999992857145,983.8928571428571,1994.857142857143,1.0,24.0,3.0,0.0,0.0,0.8571428571428571,0.0,0.03571428571428571,0.0,0.10714285714285714,1.0,24.0,3.0,0.0,0.0,1.0,24.0,3.0,0.0,0.0
"Kyushu Electric Power Co., INC.",10.07,1,Utilities,Utilities,privatelocal,0.0,Asia & Pacific,China,0.0,Japan ,59.299999,East Asia,7.0,251.89999,2541.0,5062.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lakewood Carbon,9.530000269999999,10,Financials (Special),Specialty Finance,privatelocal,0.5,Asia & Pacific,China,0.1,United K. ,24.51000037,East Asia,10.0,103.400001,878.9,1034.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Luso Carbon Fund,10.065000075,4,Financials,financial institutions,privateglobal,0.25,Asia & Pacific,China,0.0,Portugal ,19.1250005,East Asia,8.5,92.85000050000001,731.75,1301.75,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Luxembourg Ministry of Sustainable Development and Infrastructure,7.940000099999999,1,Government,Government Agencies,Government,1.0,Asia & Pacific,Bangladesh,1.0,Luxembourg ,2.1800001,Southern Asia,10.0,54.700001,511.0,547.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MGM Carbon Portfolio,10.723889,18,Financials,Asset Management,privateglobal,0.2222222222222222,Asia & Pacific,Vietnam,0.0,United K. ,26.00555525,Southeast Asia,7.166666666666667,103.17777650000002,1049.7777777777778,2020.5,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
Mabanaft,14.020000000000001,3,Energy,"Oil, Gas & Coal",privateglobal,1.0,Latin America,India,0.3333333333333333,Netherlands ,13.199999933333332,Southern Asia,8.0,17.366666366666667,139.0,253.0,0.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0
Macquarie Bank,10.911739217391306,23,Financials,Banking,privateglobal,0.043478260869565216,Asia & Pacific,China,0.043478260869565216,United K. ,91.75217469565217,East Asia,7.260869565217392,181.75652147826088,1530.4782608695652,3213.521739130435,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0
Marubeni,12.10483879032258,31,Materials,Chemicals,privateglobal,0.3870967741935484,Asia & Pacific,Thailand,0.0,Japan ,39.3129030580645,Southeast Asia,7.483870967741935,107.66451632258064,1095.7096774193549,2004.0645161290322,0.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0
Mercuria Energy Trading,12.29200022,5,Energy,"Oil, Gas & Coal",privateglobal,0.0,Latin America,China,0.0,Switzerland ,168.67999960000003,South America,7.0,343.760004,3090.0,6428.0,0.0,4.0,0.0,1.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0
Mercuria Energy Trading SA,12.250454545454543,22,Energy,"Oil, Gas & Coal",privateglobal,0.045454545454545456,Asia & Pacific,China,0.0,Switzerland ,57.190909090909074,East Asia,7.0,96.45909013636361,805.3636363636364,1770.5454545454545,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
Merrill Lynch,12.1375,4,Financials,Asset Management,privateglobal,0.0,Asia & Pacific,China,0.0,United K. ,63.57500075000001,East Asia,7.0,108.375,1160.25,2109.25,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Ministry for Environment,18.0,1,Government,Government Agencies,Government,0.0,Latin America,Guatemala,1.0,New Zealand ,7.900000099999999,Central America,7.0,141.60001,1110.0,2527.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Ministry of Environment and Rural and Marine Affairs,7.0,1,Government,Government,MDB,0.0,Latin America,Colombia,0.0,Spain ,0.0,South America,30.0,66.699997,1173.0,1840.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Mitsubishi,9.90875009375,16,Consumer Staples,Distributors - Consumer Staples,privateglobal,0.125,Asia & Pacific,Thailand,0.0,Japan ,111.8812495125,Southeast Asia,7.0,440.2062488125,4394.25,7296.625,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
