buyercompany,cer,projectnumber,sector,industry,buyerstat,psize,locationregion,location,treat,buyercountry,investmentmus,subregion,yrs,stperiodktco2eyr,expectedaccumulated2020ktco2e,expectedaccumulated2030ktco2e,Africa_x,Asia & Pacific_x,Europe & Central Asia_x,Latin America_x,Middle-East_x,Asia & PacificP,Latin AmericaP,AfricaP,Middle-EastP,Europe & Central AsiaP,Africa_y,Asia & Pacific_y,Europe & Central Asia_y,Latin America_y,Middle-East_y,Africa,Asia & Pacific,Europe & Central Asia,Latin America,Middle-East
British Gas Trading,10.66,1,Utilities,Utilities,privatelocal,1.0,Asia & Pacific,China,0.0,United K. ,7.599999900000001,East Asia,10.0,34.200001,342.0,342.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bunge Emissions Group,10.837777911111111,9,Business consulting and others,Environmental Services,privateglobal,0.3333333333333333,Latin America,Guatemala,0.0,Switzerland ,27.199998688888886,East Asia,8.0,96.82222222222222,844.8888888888889,1446.888888888889,0.0,8.0,0.0,1.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0
CAMCO,13.21107139047619,84,Financials (Special),Specialty Finance,privateglobal,0.08333333333333333,Europe & Central Asia,Vietnam,0.011904761904761904,United K. ,61.39166680714286,Southeast Asia,8.964285714285714,110.89880929761905,983.6904761904761,1519.6785714285713,0.0,83.0,1.0,0.0,0.0,0.9880952380952381,0.0,0.0,0.0,0.011904761904761904,0.0,83.0,1.0,0.0,0.0,0.0,83.0,1.0,0.0,0.0
CCAN Consulting,10.07,1,Business consulting and others,Environmental Services,privateglobal,1.0,Asia & Pacific,China,0.0,Netherlands ,14.8,East Asia,7.0,37.299999,375.0,748.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CDM Facility NCDMF,5.0,1,Government,Government Agencies,MDB,0.0,Latin America,Peru,0.0,Netherlands ,7.0,South America,7.0,299.0,4109.0,6222.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
CEZ,11.056666666666667,3,Utilities,Utilities,privateglobal,0.3333333333333333,Asia & Pacific,China,0.0,Netherlands ,20.300000033333333,East Asia,7.0,61.300000000000004,585.6666666666666,1199.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
CF Partners,11.250588358823531,17,Financials (Special),Asset Management,privatelocal,0.17647058823529413,Latin America,Nicaragua,0.058823529411764705,United K. ,104.1351167117647,Southeast Asia,7.0,167.470588,1503.4705882352941,3166.0,0.0,16.0,0.0,1.0,0.0,0.9411764705882353,0.058823529411764705,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,16.0,0.0,1.0,0.0
CO2logic,15.4,1,Business consulting and others,Environmental Services,privateglobal,0.0,Africa,South Africa,0.0,Belgium ,179.39999,Southern Africa,7.0,107.8,800.0,1879.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cambridge Funds Investment,11.493333280000002,15,Financials,Asset Management,privateglobal,0.06666666666666667,Asia & Pacific,China,0.0,United K. ,52.186667066666665,East Asia,7.0,80.21999973333332,726.6,1529.4666666666667,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
Cantor Fitzgerald Europe,23.690001000000002,1,Financials,Institutional Financial Svcs,privateglobal,1.0,Asia & Pacific,India,0.0,United K. ,7.5,Southern Asia,10.0,13.0,130.0,130.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Carbon & Energy Capital,10.790000150000001,4,Financials (Special),Specialty Finance,privatelocal,0.0,Asia & Pacific,China,0.0,United K. ,54.749999249999995,East Asia,7.0,176.32500249999998,1343.0,3107.25,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Carbon Alliance Holding,10.66,1,Financials,Specialty Finance,privateglobal,1.0,Asia & Pacific,China,0.0,Switzerland ,12.9,East Asia,7.0,33.599998,328.0,664.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Carbon Asset Management Sweden AB,11.171666719298251,114,Financials,Asset Management,privateglobal,0.30701754385964913,Asia & Pacific,Vietnam,0.017543859649122806,United K. ,53.57699146283187,Southern Asia,7.324561403508772,123.81403508070179,1192.0438596491229,2171.122807017544,0.0,114.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0
Carbon Capital Management,12.438181845454546,22,Materials,Chemicals,privateglobal,0.18181818181818182,Asia & Pacific,China,0.0,Japan ,34.68181814090909,East Asia,8.409090909090908,114.5590917272727,1040.2727272727273,1560.9545454545455,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
Carbon Finance Ltd,6.5,2,Financials (Special),Specialty Finance,privateglobal,0.0,Asia & Pacific,India,0.0,Japan ,16.05000001,Southern Asia,10.0,68.6000025,686.0,686.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Carbon Limits,12.0,1,Industrials,Engineering & Construction Svcs,privateglobal,0.0,Middle-East,Iran,0.0,Norway ,9.1000004,Iranian Plateau,7.0,463.10000999999994,4709.0,9342.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Carbon Market Watch,20.129998999999998,1,Business consulting and others,Environmental Services,privateglobal,0.0,Asia & Pacific,India,1.0,Belgium ,32.700001,Southern Asia,10.0,49.5,401.0,495.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Carbon Resource Management,12.662727322727275,110,Financials (Special),Specialty Finance,privateglobal,0.045454545454545456,Asia & Pacific,Vietnam,0.01818181818181818,United K. ,93.80818186363636,Southeast Asia,7.027272727272727,137.6618177,1324.7,2578.081818181818,0.0,110.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0
Carbon Road,11.01600006,5,Business consulting and others,Environmental Services,privatelocal,0.0,Asia & Pacific,China,0.0,Netherlands ,50.6000002,East Asia,7.0,121.460002,988.2,2203.2,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Carbon Trading Capital,11.520000000000001,11,Financials,Asset Management,privatelocal,0.45454545454545453,Asia & Pacific,China,0.0,United K. ,28.972727190909094,East Asia,7.0,60.23636309090909,462.1818181818182,1064.909090909091,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
